run,indices,signs,weights,results
32,"[515, 6122, 3728, 2070, 8323, 4402, 8289, 2375, 7346, 2430]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.0994765006118814, 1.2070337727803526, 1.323882240813877, 1.4487721566428076, 1.550764585611413, 1.6777237121008677, 1.7553717928902461, 1.8410235270860658, 1.951540860884223, 2.0354419797655767]"
33,"[799, 4729, 9090, 1240, 6440, 2834, 2618, 4897, 6426, 9808]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.0941941183166584, 1.1943082431909904, 1.2958084458060617, 1.401824514961931, -1.3724402952492751, -1.5002923291681773, -1.6266702244073064, -1.7241187962859594, -1.8689027524749047, -1.816828570346704]"
34,"[4755, 4867, 5991, 6033, 3962, 9365, 8710, 2526, 7983, 1379]","[-1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1, -1.1054661554429974, -1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, -1.1028221676418182, -1.219828646912806, -1.3360311903103084, -1.4681934801391112, -1.591387063719228, 0.12467007038186499, 0.19960636145196656, 0.24828349886011522, 0.3476792149486561, 0.38434760507608234]"
35,"[3844, 7294, 4624, 4008, 6128, 1188, 1683, 8715, 1494, 5018]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.0962349847379123, 1.1672843539647706, 1.26883631422205, 1.355375382009985, 1.4668270982521545, 1.582136170705625, 1.7342454163278953, 1.7949452950092533, 1.8623404388034996, 2.0469383662050844]"
36,"[7346, 1981, 1787, 9733, 473, 7237, 3579, 6424, 0, 6156]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1021436104353879, 1.2025451888761307, 1.316628792534697, 1.3982460004468669, 1.5062219725867652, 1.5606165824563003, 1.5883809160262075, 1.6732951226407777, 1.8174061953587153, 1.8238983954055445]"
37,"[6395, 9225, 1132, 4371, 9375, 6786, 4941, 1305, 2570, 1401]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, -2.725552231681011]","[1, 1.0995139801435494, 1.1979679597243105, 1.3157322321998157, 1.410110509533409, 1.5679101622750362, 1.6827131191206175, 1.7914793325498688, 1.905432984517242, 2.0755350451919496, -2.0872323633504837]"
38,"[3440, 7385, 5480, 2366, 8338, 4346, 890, 5765, 361, 4297]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.1041353750200713, 1.2154158204711563, 1.326458236880626, -1.4213762547555404, -1.5022355011156368, -1.6148421771612609, -1.7008248631154859, -1.7604807987331654, -1.7662680863510907, -1.818033073951547]"
39,"[3230, 9133, 8523, 9237, 7873, 8997, 3908, 6463, 9119, 3112]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.0988634002065438, 1.2010262723276117, 1.3089404347041804, 1.418467783758856, 1.5476860770423078, 1.6379516716791045, 1.755440708550475, 1.8454501067463198, 1.9976446398036003, 2.1291490558992052]"
40,"[9414, 3651, 9413, 3080, 4047, 3495, 4707, 4646, 2300, 1724]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1021182544009094, 1.209327921326294, 1.2888180634139295, 1.3631467541358535, 1.4599060684843166, 1.5444751686797755, 1.6636387629613127, 1.5871720229751116, 1.6522532621369705, 1.7184229408824765]"
41,"[1276, 1384, 8123, 8747, 2211, 2319, 1266, 253, 6576, 1261]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1014644687110777, 1.2171205863276398, 1.3462992519454853, 1.482865938564625, 1.583999949211345, 1.6721434815247167, 1.7855173209946464, 1.930055719671773, 2.003910799410945, 2.0556403601435522]"
42,"[2504, 920, 6879, 452, 4864, 1264, 9402, 7635, 663, 605]","[1, 1, 1, -1, 1, 1, 1, 1, -1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1021467190301435, 1.212667833329499, 1.3309694942929586, -1.4291759313833592, -1.5113542650176315, -1.5966291030744983, -1.6944822229735557, -1.856527373318332, 0.4831404201669322, 0.7930590236880585]"
