run,indices,signs,weights,results
46,"[212, 180, 34, 897, 324, 84, 120, 32, 131, 473]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9631317933748768, 0.8942637368244146, 0.8026106858381256, 0.701714666283023, 0.6013892016457977, 0.5144113181404939, 0.4561313170794912, 0.42957899107717096, 0.42261769951383193, 0.4282146429400075]"
47,"[805, 910, 705, 315, 324, 88, 958, 581, 47, 86]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9639349332170214, 0.8969710842026587, 0.8040011368902391, 0.6986979114459543, 0.5946404932266166, 0.508362409175284, 0.45306088067403927, 0.4068677734828531, 0.3792201039377437, 0.38274113739709825]"
48,"[909, 857, 568, 762, 114, 989, 536, 891, 119, 890]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.963403299809805, 0.8910917883671623, 0.7952056524048485, 0.6926625642582614, 0.5942309650780793, 0.5160472833810512, 0.45076300644542383, 0.4169956470618923, 0.397247535615732, 0.39283535643751627]"
49,"[244, 656, 767, 823, 650, 222, 806, 314, 150, 41]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9662870516970719, 0.9004177826119, 0.8101049574623478, 0.7085419635413539, 0.6024968423776701, 0.5035521604738865, 0.4275803177251879, 0.38408361932768154, 0.3618684014519759, 0.36385787704319217]"
50,"[318, 355, 175, 937, 152, 951, 101, 517, 430, 592]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9648694425684609, 0.8979061625635588, 0.8087147766923385, 0.7071784948282377, 0.6095257537906346, 0.5131475944354197, 0.45339487363513614, 0.40863633932758486, 0.398988195012972, 0.3943648599902821]"
51,"[440, 335, 423, 178, 470, 514, 57, 641, 696, 724]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9663090551637575, 0.8986218637349516, 0.8053003192080642, 0.7024020763899381, 0.6050255377492421, 0.5070426736113803, 0.4322722870792665, 0.39136632112576303, 0.36157688085855827, 0.35362432224747786]"
52,"[538, 88, 577, 482, 418, 187, 129, 953, 621, 706]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9651435041425369, 0.8977983190771486, 0.8075754924880654, 0.702902272314228, 0.6010580248252311, 0.5230475743130532, 0.4545349105990282, 0.398644967496989, 0.3795541275679765, 0.37982096771101864]"
53,"[778, 1, 240, 402, 791, 810, 679, 566, 404, 766]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9655697608894955, 0.9005484742274055, 0.8166988131914024, 0.7200237357564476, 0.6138978183678109, 0.52156770292459, 0.44454630596789185, 0.4046172753480464, 0.372878767792228, 0.3723035893068316]"
54,"[352, 980, 56, 519, 16, 995, 107, 152, 866, 25]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9659677549141648, 0.8941087141903359, 0.8023654303338377, 0.7005097108378637, 0.6012029235067958, 0.5146953886074531, 0.45378104469185104, 0.4210395230332395, 0.396544329928273, 0.38909326968699043]"
55,"[837, 819, 242, 691, 684, 387, 890, 13, 729, 456]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9625267925881609, 0.893685708967263, 0.8022851028928747, 0.7000714670855374, 0.5939913890845274, 0.5113662484895566, 0.44299386956391523, 0.40737500702214186, 0.3904117984480432, 0.39174806543299906]"
