run,indices,signs,results
797,"[4949, 8887, 934, 6165, 6416, 6288, 5010, 1905, 5050, 7327]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963842471650917, 0.98733214321489, 0.9647749469711187, 0.9519282810936542, 0.928777307107373, 0.9215985639891953, 0.8468950060527674, 0.7958431846570266, 0.756924785382912, 0.7298319561416092]"
798,"[7064, 4582, 303, 2613, 6274, 3561, 1254, 9513, 6663, 8678]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9892319423720619, 0.9773515247135649, 0.9609016445459969, 0.92245729501115, 0.8756372182107564, 0.8427330016017314, 0.7894942747552387, 0.7571972642148328, 0.7205234858522496, 0.7087777629608323]"
799,"[357, 4369, 7419, 5023, 3948, 7236, 8513, 2740, 9629, 7494]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9987159657368458, 0.9816450542898698, 0.941041396271654, 0.9138046885606346, 0.8888461156034322, 0.8716839868030302, 0.8682934304144531, 0.8154571109292569, 0.81545711092966, 0.7530156909000678]"
800,"[8105, 6254, 6290, 161, 9097, 2176, 1264, 9154, 185, 7925]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939983346267245, 0.9989446293464896, 0.9953399719278959, 0.9903755219473545, 0.9824758173121918, 0.9670773947802221, 0.9207914499343892, 0.8794597819086512, 0.8607027959113793, 0.8298013634198854]"
801,"[5590, 7158, 4105, 2273, 4099, 2030, 8146, 6285, 9078, 4638]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9891737123465436, 0.9819861968608782, 0.9402936949304866, 0.9239601937375715, 0.8805739629458016, 0.8843107986272599, 0.8525811126162053, 0.8031303291414751, 0.7586763882177012, 0.6640798240827408]"
802,"[4125, 3806, 107, 653, 5889, 5736, 9073, 7533, 9556, 1319]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9892076563638068, 0.9894485771745478, 0.9750134588278929, 0.9629571137970074, 0.9192029821689292, 0.91105747636631, 0.8634816524885518, 0.7642053785122322, 0.7496871267770583, 0.7198902913081378]"
803,"[2827, 8735, 3947, 321, 5509, 5763, 1732, 1919, 7155, 1995]","[1, -1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9731382404735176, 0.9474120647884658, 0.9364329130766236, 0.891417040030736, 0.8472383716761028, 0.794075855725304, 0.686903650896674, 0.5717276290504412, 0.5199314457532911, 0.48131778448352863]"
804,"[4033, 1455, 7333, 5255, 5248, 460, 9766, 3039, 6473, 3703]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963872317292286, 0.9920483770267227, 0.9522249383746828, 0.9251541605427495, 0.9045003752721641, 0.8942512640298894, 0.8735719832170045, 0.8511884775000274, 0.8264367371377113, 0.770110439900866]"
805,"[6439, 7747, 8806, 7654, 7140, 2162, 8673, 9881, 7090, 9524]","[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9934118448898159, 0.9887744302480901, 0.9767857263103674, 0.9597472923198898, 0.9297186721823321, 0.8321312208400131, 0.7632898599955267, 0.743907171883918, 0.6606294560890023, 0.6295971141329973]"
806,"[5551, 9137, 8685, 8493, 0, 693, 3787, 3568, 8263, 2537]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987889488624907, 0.9958166487734132, 0.9705123423059975, 0.9373880180828337, 0.920392019877605, 0.9047491489941959, 0.8869094280864198, 0.8575107705576708, 0.8281412412758921, 0.8120740173053461]"
807,"[5907, 9162, 6734, 523, 7615, 5380, 5604, 6188, 5551, 3108]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9598157194189989, 0.9112606796761038, 0.8802957687669671, 0.8466470904859904, 0.8319066869289898, 0.7065847349812262, 0.6725530659480351, 0.5965420648436622, 0.571903997273383, 0.5412803352063597]"
808,"[2583, 6075, 6722, 198, 7104, 9437, 4009, 3732, 4331, 2068]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945839470913879, 0.9844758886206015, 0.9603695371357241, 0.927429768522007, 0.9105099474760595, 0.9095990277651105, 0.893807709599661, 0.8672670770430151, 0.8299200546955512, 0.7851479225175418]"
809,"[7713, 9192, 8565, 564, 8272, 819, 9032, 5520, 7120, 9493]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9898078278130048, 0.9694749132553349, 0.9609669427097159, 0.9301781311537154, 0.8979532069446565, 0.8604076943815238, 0.8457011768772323, 0.7492092074302638, 0.7014365193110097, 0.6488664826413335]"
810,"[2562, 9329, 7869, 1158, 6547, 1977, 5562, 4861, 6304, 6563]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9946343779355573, 0.9779062721853565, 0.9415303183975379, 0.8675280345591949, 0.8234518039321224, 0.7876457545380801, 0.7458559929583839, 0.6836364356104079, 0.6488164591994487, 0.6207857686070101]"
811,"[801, 7555, 4979, 222, 7876, 8557, 9800, 5703, 7676, 5830]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951593094107144, 0.994438740040002, 0.9681989289801156, 0.9310965944814753, 0.8673569553118443, 0.8299548925166187, 0.8209977495291017, 0.7488543917930723, 0.671400448392346, 0.6260647872165753]"
812,"[3064, 5280, 6966, 9274, 5950, 4676, 3542, 6197, 7930, 7875]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9951991941033205, 0.9755306131755012, 0.9164040525024026, 0.9003179031208461, 0.830112591472034, 0.829702273557427, 0.8090174246016929, 0.7236414902185708, 0.7027073473013179, 0.6799175047460432]"
813,"[343, 1200, 370, 1020, 9394, 9772, 4448, 9412, 6557, 1182]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993514754510846, 0.9987756626717678, 0.9827371001252045, 0.9332023995174145, 0.8777902492197704, 0.8122078203295562, 0.7833947446281768, 0.7585844789976497, 0.701704329567755, 0.6669524329754075]"
814,"[7950, 6504, 5897, 3073, 6789, 4139, 4910, 9670, 5793, 8818]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9916437772148918, 0.9755982229257467, 0.9543644030450287, 0.9271584228433127, 0.8845383551201064, 0.8329795176273705, 0.7681502029580074, 0.7637576852492989, 0.742023914407933, 0.6813841876089421]"
815,"[3599, 2025, 9191, 8980, 9007, 8665, 1036, 2144, 4607, 7172]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9970002295795757, 0.9836639440554309, 0.9667467346845795, 0.9102025754431462, 0.8519493573447245, 0.7163109013358684, 0.7130413787910852, 0.6690393050807497, 0.6388783037678745, 0.606749724653839]"
816,"[7591, 4305, 9781, 1829, 1025, 5851, 9651, 6208, 1375, 6999]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9844288503433393, 0.9596638339509018, 0.9365691907537402, 0.9268245580123307, 0.9260174315564825, 0.9065950793453883, 0.8067532427876214, 0.7578043317845276, 0.7230036224127474, 0.6920622773339892]"
817,"[3926, 3608, 5553, 3249, 764, 2813, 6788, 850, 3795, 5840]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993231098246056, 0.9891217618530579, 0.9747288442215228, 0.951682618398836, 0.9192663411488736, 0.8908191733066041, 0.8567988682232139, 0.8340783086949017, 0.7999138097726022, 0.7527409916977605]"
818,"[9873, 4912, 499, 1678, 7771, 8176, 4378, 3411, 2449, 1265]","[1, 1, 1, -1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9916193091931358, 0.9785068393488887, 0.9691528569763617, 0.9426406401453513, 0.902682573856646, 0.8732751700532555, 0.8527769017748454, 0.8009903032323868, 0.7320351554810147, 0.6646463266235512]"
819,"[556, 3912, 4190, 5190, 986, 7245, 6604, 3853, 9397, 2076]","[1, 1, -1, -1, 1, -1, -1, 1, 1, 1]","[1.0, 0.9922066773499261, 0.9856761776400249, 0.9692473893547581, 0.9691907098006683, 0.8998540067419261, 0.8692508524413247, 0.8605023753950719, 0.8093771882472021, 0.7298915682064091, 0.6978334408610458]"
820,"[4853, 6107, 5646, 1669, 2448, 7684, 1441, 5953, 6059, 5225]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.994598391376225, 0.9872035980113814, 0.9824415840278135, 0.9557282689287429, 0.9334044473182065, 0.9112700578242442, 0.8692673371787822, 0.848582831823063, 0.8315830872638732, 0.8202073343343412]"
821,"[9215, 1649, 5330, 6384, 7047, 5475, 9682, 7990, 7509, 18]","[1, -1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9938160556057707, 0.9657701545743929, 0.9624804175769801, 0.9221062861124483, 0.8903883420748999, 0.890388342075118, 0.8280391650866784, 0.7718783500228549, 0.7191934567606884, 0.6950936308399673]"
822,"[6750, 997, 2278, 7016, 6937, 6183, 9264, 7144, 4908, 58]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9921994358278987, 0.9844692118055482, 0.9644733002085195, 0.9432989861326884, 0.9140364823411274, 0.8809014970442094, 0.8793112983195095, 0.8793112983196354, 0.8398545742258405, 0.821751751866842]"
823,"[5895, 6430, 6522, 1369, 2515, 2746, 1598, 885, 4338, 4622]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9779355792595811, 0.937126988499116, 0.8861451827641622, 0.8198363158735926, 0.8193791109322814, 0.7372874988273599, 0.6992345384572939, 0.6566452241162319, 0.5651132515184203, 0.4923490704628902]"
824,"[32, 5917, 7627, 5085, 6184, 9870, 3293, 1282, 6107, 5992]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9934205989796834, 0.9875593461119468, 0.9821554736819122, 0.9580228160724469, 0.9179578687386207, 0.8900165542413357, 0.8613508020801892, 0.7489917752882269, 0.7139828664372827, 0.6862587617931487]"
825,"[630, 6995, 1621, 552, 8369, 7408, 4376, 329, 9419, 3696]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9874938109150357, 0.9530197623507773, 0.9217495304205525, 0.8660993327729836, 0.7982037825530783, 0.7470390868741105, 0.7072333116219849, 0.6712972800966583, 0.5992973195545359, 0.49770894114129366]"
826,"[9953, 7175, 3505, 4556, 2630, 7533, 1106, 4865, 5174, 8807]","[1, 1, 1, 1, 1, 1, -1, -1, 1, 1]","[1.0, 0.9970057728398791, 0.9937700717485741, 0.9739395234067156, 0.9591107043156535, 0.9401260273324077, 0.8741434443451395, 0.859715401928669, 0.8434791774787389, 0.7890838821974666, 0.7576357441283692]"
827,"[8474, 5574, 7321, 6608, 6204, 938, 369, 1112, 4404, 8941]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.961426785771778, 0.9506225889945412, 0.925662120539739, 0.8830168576266819, 0.797860595177194, 0.704610308462029, 0.668243102930917, 0.5652426211204145, 0.4493535445253126, 0.371375534235722]"
828,"[1343, 8627, 9868, 8058, 6407, 5090, 122, 7663, 6103, 6751]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9993372631647, 0.9931980473015665, 0.9673627032205164, 0.9510807510704637, 0.9362513840161177, 0.8823811215911708, 0.8445975138708607, 0.7995286485231894, 0.7442970920719678, 0.7249521226944474]"
829,"[389, 9728, 9923, 6239, 448, 9536, 1032, 3604, 2194, 972]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9873266646226642, 0.9733303670073997, 0.9573424155144084, 0.937490032341233, 0.9066914949093179, 0.8784301314132492, 0.8557823779897689, 0.8390191820988002, 0.7935223957378974, 0.7427151410566413]"
830,"[7423, 8656, 6756, 5367, 454, 4763, 8392, 1935, 7363, 3180]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987961816679315, 0.9880139312810888, 0.9623374374339484, 0.9487854409512564, 0.9342257131620507, 0.9284271115107826, 0.8949512790246626, 0.8423854650156599, 0.8328700071467081, 0.7930691513711692]"
831,"[7186, 4801, 7975, 9960, 8497, 1730, 9916, 6058, 9246, 5806]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9982040356954753, 0.9946084737496832, 0.969662302113379, 0.9463258256408504, 0.8564360800131843, 0.8204484299727299, 0.7979435915658968, 0.7459716865417184, 0.6677945130979086, 0.6490416678815791]"
832,"[9678, 3680, 9838, 5900, 4773, 5759, 2430, 5849, 1007, 177]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987975778987348, 0.9888749749066061, 0.9856716837502386, 0.9632878807190168, 0.9343166206733748, 0.9184599753887848, 0.8835404879366766, 0.8205470435141438, 0.656924783010894, 0.6160182027497302]"
833,"[2712, 370, 9324, 2618, 9058, 9430, 7520, 8780, 8678, 8285]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975865979921822, 0.9779287021386597, 0.9605482981435782, 0.9490935399179323, 0.9356443027403288, 0.9055150408283752, 0.8860923147509643, 0.8486420673498183, 0.835389092692623, 0.7721710671033016]"
834,"[3430, 3633, 4892, 9072, 1995, 1830, 8688, 1811, 3429, 1872]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9933200399601174, 0.9782984141732486, 0.9320173662910052, 0.9164591711456274, 0.8945077408355873, 0.8421762210681392, 0.8020647644530312, 0.7923045450041587, 0.7394301586386931, 0.6726405651364771]"
835,"[2723, 6969, 797, 9636, 1480, 1, 1977, 1615, 3077, 9113]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969360998810568, 0.9940769114172899, 0.980000061223858, 0.9556169837344979, 0.9281685010388085, 0.9101355362917993, 0.8709090637047647, 0.8645179822488758, 0.8035432232424509, 0.7327322855427718]"
836,"[7548, 3741, 970, 1819, 8241, 9674, 712, 960, 338, 9624]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9827919417274147, 0.9752313781258592, 0.9054722583163262, 0.8583718386192822, 0.816053536584459, 0.7982060364406998, 0.7094361246160683, 0.6716260620943022, 0.6209953284778126, 0.5848644732662649]"
837,"[3130, 4564, 6294, 1865, 6799, 6592, 9558, 5301, 5, 3117]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993977281022619, 0.9913079560792118, 0.018503313252947018, 0.03645351002873104, 0.0827940054146572, 0.12089690840684436, 0.16880384549739236, 0.23649860326541794, 0.3131957755378121, 0.32895426675037087]"
838,"[1539, 1880, 8762, 8295, 3571, 6681, 1110, 3544, 5922, 2639]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9964073538493744, 0.9916726132122862, 0.9743037729440425, 0.9247873783643288, 0.8846413484838052, 0.7750555560793128, 0.7428817595412922, 0.6999737402094393, 0.6800644738737197, 0.6285728427159132]"
839,"[5621, 7634, 1197, 6193, 6718, 9572, 4787, 2380, 7874, 2652]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9964001244766421, 0.9928233242945848, 0.9681736091444963, 0.9446708402910795, 0.9186452514404677, 0.8441710788613754, 0.7931054129197299, 0.7248080732701387, 0.6566814089335649, 0.5891002467121235]"
840,"[924, 8348, 9095, 3444, 7379, 4578, 3731, 9171, 1797, 3529]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9981953598231219, 0.9932035433007662, 0.9657892485917381, 0.9536029658094937, 0.9535856744388209, 0.9197602433011587, 0.896956185335418, 0.8405176234583516, 0.7604995889463875, 0.697627146880189]"
841,"[4057, 7360, 6350, 4561, 1729, 1587, 3276, 6882, 9285, 8478]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.988625594931402, 0.9632526498624401, 0.9523248213100055, 0.918951729242877, 0.8955721156137868, 0.8963730289470667, 0.8693821156379524, 0.8407021580549662, 0.8249101312766212, 0.7898832227942749]"
842,"[6346, 6483, 1707, 9673, 5068, 8122, 3983, 1875, 3081, 2128]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987961816678959, 0.9874714222617997, 0.9818372155501665, 0.9514590465720053, 0.943369501370009, 0.923245586630274, 0.9171218053826022, 0.883313254538735, 0.851566183375047, 0.7998658330522281]"
843,"[909, 4206, 3097, 7820, 1174, 8297, 1028, 3817, 7482, 376]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9761984031728035, 0.9654805570460868, 0.9419475346375566, 0.9130215210656722, 0.8937929946587767, 0.848548523029258, 0.8074625072074397, 0.8139960884147303, 0.7524078392487192, 0.6353864195321504]"
844,"[5830, 5048, 4369, 9721, 2417, 4864, 3619, 5655, 810, 4396]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9952020889042098, 0.9774121221465208, 0.9379133291889304, 0.8986012561497345, 0.8619132668584757, 0.8146154249705673, 0.7991740642891663, 0.7999024385388871, 0.7760682107984604, 0.7407707877913359]"
845,"[241, 3894, 4460, 6748, 1410, 2629, 753, 5002, 104, 7152]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.959884581868612, 0.9386075047445488, 0.8963380033122832, 0.8816015647034835, 0.8350841140509898, 0.7952354791739232, 0.7192664458872431, 0.6353417629961053, 0.5625347786499494, 0.5368048666516718]"
846,"[5573, 5234, 6196, 5963, 1110, 5266, 4966, 4682, 1447, 7163]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.99700458488739, 0.9850957627933692, 0.9771186620692127, 0.9516072667500132, 0.9366052180964324, 0.9005178562156531, 0.8575016352111722, 0.8352728387544428, 0.8048346556021341, 0.7600963266456743]"
847,"[6500, 369, 4587, 8152, 3041, 3468, 5593, 4206, 6682, 6425]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975967099977519, 0.9942479957718151, 0.9833206365939358, 0.9416616068447528, 0.8934785246225103, 0.8780649781873031, 0.8215382799656727, 0.7969275462973332, 0.734771115303195, 0.6667914892581049]"
848,"[9553, 8209, 3401, 5220, 276, 7630, 6194, 4035, 7372, 2075]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9916051134982664, 0.9776927213984501, 0.950640142563091, 0.9002744044031665, 0.8826408729487352, 0.8308269557801762, 0.79192168410847, 0.7535664752356273, 0.6663828845761524, 0.6088994800752244]"
849,"[1520, 3317, 3034, 6828, 5010, 165, 5686, 8353, 3681, 2974]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9874893179217339, 0.9805269330407704, 0.9639673544984677, 0.9291034385243709, 0.8387848798165543, 0.8349161354901297, 0.7873394041117203, 0.7598113229617673, 0.7272590525973581, 0.693353791094246]"
850,"[8741, 4112, 1434, 5849, 984, 2022, 3600, 5764, 1153, 8262]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963957882781338, 0.9916099433146286, 0.9842292592449567, 0.9637363485596575, 0.9142157350643378, 0.8715906966982553, 0.865063700412062, 0.8087805183600385, 0.7574660317801747, 0.7253594065137944]"
851,"[2793, 3440, 5569, 1414, 6727, 3188, 1312, 8898, 6036, 1057]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9885576299901156, 0.9849250764382773, 0.9796890345613294, 0.9713286165732091, 0.9537243373490445, 0.8761630781391259, 0.8201291297428545, 0.7730615507077994, 0.7366792824677446, 0.6467189074646349]"
852,"[7297, 8093, 68, 7997, 4594, 6679, 9755, 3408, 7293, 7363]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9922182010551507, 0.9880534062335306, 0.9639306881340846, 0.9652991968888964, 0.9549719427524184, 0.952483928730171, 0.9188404589754486, 0.8846693884834318, 0.8391693475761381, 0.821861855051156]"
853,"[3810, 9630, 9156, 8707, 2561, 7429, 8344, 872, 1243, 2194]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9880326912752413, 0.9755304463708141, 0.9735047099192233, 0.9408042691893548, 0.8957896783639757, 0.8908315314086966, 0.851096848415404, 0.782071011677011, 0.715870438768013, 0.649458015122969]"
854,"[831, 6225, 9441, 5566, 1510, 2915, 5288, 5057, 9529, 4056]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9981723801561568, 0.9825031334583562, 0.9748943316948389, 0.9428106272246009, 0.8766759327237574, 0.8335068345121607, 0.7107356615329598, 0.6680825456880851, 0.6436730378294993, 0.554711481519422]"
855,"[4959, 4197, 7786, 7949, 5092, 3450, 1813, 8224, 2442, 7481]","[1, -1, -1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9916238528916141, 0.9822277028218597, 0.9713774622057358, 0.9593576326126433, 0.924318479858335, 0.8866590421483755, 0.8728997304849663, 0.8183692163899201, 0.8013458438318338, 0.7720713602113876]"
856,"[9398, 8461, 730, 2474, 1832, 5344, 8610, 5138, 6124, 4349]","[1, -1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9773965503259976, 0.9658690477051187, 0.9616649783608868, 0.9162799283108112, 0.8381730985316714, 0.8011323182845187, 0.774494587456932, 0.7044834251862, 0.5628007535243772, 0.5121894362417571]"
857,"[140, 4665, 925, 8842, 2549, 793, 7566, 6133, 9191, 4215]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9898048424976451, 0.9590695358051787, 0.9400286286686945, 0.9065285558411681, 0.8835500414320929, 0.8524643127032798, 0.809213065929469, 0.7558331996163447, 0.7270062102112945, 0.6421012962694796]"
858,"[807, 9109, 8926, 3467, 2760, 4002, 8267, 3015, 8361, 4934]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9922197482274985, 0.9887090344343109, 0.9734957684607537, 0.9451108662652662, 0.9438249391642828, 0.9238048451688323, 0.8689860325817654, 0.8433896054480274, 0.7880477061433031, 0.7715238031035534]"
859,"[5802, 392, 2185, 6406, 2892, 2086, 2331, 1845, 5720, 3007]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9920806888715963, 0.9526325927572843, 0.9375102036713399, 0.8912777410345774, 0.8548176200146116, 0.7962503330712294, 0.7612015748304416, 0.6983516848014697, 0.680255831542838, 0.6078227906317821]"
860,"[7712, 3101, 1765, 3052, 9228, 9244, 5243, 6328, 5870, 8406]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9981810216870595, 0.980395650853712, 0.9465057128763248, 0.9392046326565394, 0.8857554767278107, 0.832782275805259, 0.778444285611698, 0.7539034056671925, 0.7433172496059595, 0.6934658328604966]"
861,"[1031, 1446, 5522, 7026, 2649, 1527, 7910, 979, 9791, 6380]","[1, 1, -1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.993992501768747, 0.9896773317468552, 0.9888274216468935, 0.9831589188343008, 0.9583177895030075, 0.9384047937636655, 0.9132128105995148, 0.8719936250997544, 0.8667564689883992, 0.8509505409990646]"
862,"[8, 1238, 9441, 6106, 3771, 935, 428, 5894, 8562, 7821]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945885186398823, 0.9931404259915653, 0.9799641519300858, 0.9728972713611602, 0.9545519223506038, 0.9037337640857713, 0.8935047423175507, 0.8168192028199137, 0.7910350152242271, 0.6866773334980514]"
863,"[1578, 7704, 3061, 9039, 2302, 783, 2322, 7911, 3465, 873]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9838395177714968, 0.9662427275388674, 0.9286222886361556, 0.8849756629339911, 0.8366202758063133, 0.819219077580616, 0.7764318259491895, 0.6705487871659108, 0.6048426817552216, 0.5698079731617214]"
864,"[1891, 7588, 4699, 7364, 8786, 9442, 1855, 496, 1151, 4985]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9881100960056356, 0.9846154486302297, 0.9828333782099357, 0.9741027385284021, 0.9654836009319179, 0.9337163541216785, 0.8890282685985036, 0.8609599547327667, 0.795711040872908, 0.7541354752634473]"
865,"[7523, 5733, 34, 8456, 474, 6159, 8181, 3390, 9183, 4818]","[-1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9969958777554303, 0.9963576437354175, 0.9612957120602973, 0.918895848911605, 0.8945212534479706, 0.8590820468932455, 0.7914837856411192, 0.7105256754782571, 0.6522366333726709, 0.6339686247248988]"
866,"[9521, 9901, 5908, 7590, 5837, 6389, 1173, 5704, 4617, 5254]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9987734869259691, 0.9884601818746758, 0.9505398163714024, 0.9231517157374202, 0.8632531991777035, 0.7512375870164352, 0.753760208878022, 0.7070285554904986, 0.688897286049991, 0.6376501306623632]"
867,"[2107, 1544, 2056, 8788, 5562, 6337, 3945, 8858, 8222, 8814]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975923633360393, 0.9898627340441546, 0.9611628457095072, 0.9236703202607299, 0.8956222664973044, 0.8940794257306877, 0.8523804448621843, 0.8264182151094803, 0.7672133941105106, 0.7165485119667077]"
868,"[234, 2491, 2941, 5217, 6891, 9975, 7629, 1741, 6139, 9447]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.994005515589822, 0.9845972253909974, 0.9692266567612073, 0.9643634337588325, 0.9514452305926722, 0.9068733690410491, 0.8535914049396834, 0.816259376028611, 0.7494449066376129, 0.6855886620331304]"
869,"[8131, 7359, 8615, 7456, 3684, 3432, 3356, 8551, 7217, 8619]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.993374565974144, 0.9676603875788001, 0.9345591041710695, 0.8441763810358709, 0.8218024080388104, 0.7015555832549718, 0.6420230581991455, 0.560704927223903, 0.5399330158997425, 0.4955412785475959]"
870,"[8005, 3195, 1146, 6167, 2555, 9233, 3747, 986, 9188, 2197]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987903299310114, 0.9933650716110942, 0.9757647155873463, 0.9405630873461537, 0.9164020531172513, 0.9133429991941693, 0.9033336349177927, 0.8394985180235717, 0.7873105644345011, 0.7445431543319947]"
871,"[4996, 4694, 5610, 9682, 414, 28, 5644, 3668, 2219, 8]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9964044345661938, 0.9922339951629996, 0.9770942602498579, 0.941000335421144, 0.9271463359884478, 0.8904508564759932, 0.8586840428247431, 0.8264047195159279, 0.7785851289713586, 0.7393508645501748]"
872,"[7096, 6224, 3590, 7201, 2486, 7370, 8880, 8328, 2498, 2039]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.991619539014871, 0.9841897539395638, 0.9808712855429901, 0.9485724453040167, 0.9346657594901908, 0.8647290796908187, 0.8528158145302145, 0.8189537270119236, 0.7401433663679577, 0.6976074272929224]"
873,"[6469, 5782, 941, 4994, 5328, 6826, 624, 6983, 9309, 8358]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9845089173933355, 0.9695109228508296, 0.9386516800041196, 0.9149714118480545, 0.8774471676125197, 0.8403155073206348, 0.7917917766481759, 0.7479863354243917, 0.7150064302183631, 0.6565994514649436]"
