run,indices,signs,results
48,"[4724, 8570, 211, 5194, 2794, 4431, 570, 3746, 2517, 9109]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9786050586315078, 0.9308954804896086, 0.8358825256376696, 0.7143412215846976, 0.6690171389193492, 0.5924995530830729, 0.5706602126386662, 0.4945561199823788, 0.34688463979228534, 0.3411089236844126]"
49,"[3613, 8717, 4594, 88, 4528, 460, 5299, 4059, 7524, 5668]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969758044040034, 0.9927533150453876, 0.9912053212882207, 0.9833467172759758, 0.951157419183658, 0.946697534873043, 0.9249498062553753, 0.8896495219458402, 0.887582505837334, 0.8387597523512376]"
50,"[3671, 8912, 2065, 4687, 9498, 74, 166, 4082, 3723, 5929]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9992762184943778, 0.9936843373313191, 0.9843188028775112, 0.9609491239682645, 0.9249059206337309, 0.870004071385087, 0.8470064641861359, 0.8292154277500723, 0.8306409924751021, 0.7868674106161786]"
51,"[2007, 536, 9270, 1688, 3994, 1784, 6918, 5937, 5764, 5339]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9922427177271933, 0.9856723094288296, 0.9909838295007176, 0.9796377264885543, 0.9612863249725783, 0.9079419561799718, 0.8891467286715035, 0.8227581757396355, 0.7645447112976382, 0.7227993902264497]"
52,"[8863, 5445, 6257, 5805, 6524, 9621, 3723, 5987, 2398, 6394]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9933801772232549, 0.9891302368299322, 0.976891722055125, 0.9396056660490446, 0.06474205548741813, 0.11537569562474925, 0.11596630366604455, 0.1301426174994984, 0.1634773622990619, 0.20178942203844946]"
53,"[823, 1452, 3094, 1903, 9265, 5726, 4763, 5988, 2076, 8877]","[1, 1, -1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9993977281025308, 0.9938560761207615, 0.9839132430740756, 0.9225432625659582, 0.8933155810351772, 0.8704159664197753, 0.8627690305821756, 0.8267507760195898, 0.800416054827585, 0.785835537416247]"
54,"[4967, 5412, 8538, 2585, 3656, 2557, 8361, 7899, 7340, 7854]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9892119529010814, 0.9680286454218276, 0.9272554368325892, 0.8707529169714592, 0.8715169332385792, 0.8679683882264985, 0.8037163846349389, 0.7270940924107774, 0.6907193664487252, 0.6384558695281543]"
55,"[2957, 1532, 5612, 636, 479, 6426, 4490, 9191, 1752, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9879514425710201, 0.9473498943632461, 0.9146230692001228, 0.8836507752960916, 0.8339421104207028, 0.8231528048979249, 0.7941701887979725, 0.7606559321133582, 0.7580152629141792, 0.7058677662238045]"
56,"[3419, 914, 646, 4842, 9672, 8665, 8000, 1150, 4889, 3982]","[1, 1, 1, -1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9945882549824662, 0.9939753093718745, 0.9890272642878091, 0.9270543803475723, 0.834221566628847, 0.6902050771200511, 0.6678224849263615, 0.6096236297661153, 0.5659657641376012, 0.5502982030578998]"
57,"[7239, 9682, 2895, 2403, 1054, 3482, 3253, 2851, 9467, 7715]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9915554340395604, 0.965976359366107, 0.8834376371364351, 0.8369024954068425, 0.7851834337791266, 0.6906600263027797, 0.6833044888694307, 0.6388290184514362, 0.5749999496278246, 0.5204350530718652]"
