run,indices,signs,weights,results
277,"[5350, 7947, 1877, 9, 3762, 7536, 2131, 6535, 3343, 1510]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0766544924547994, 1.161673809877782, 1.2455972762146001, 1.3330446562311449, 1.4254869768075022, -1.5041106427033943, -1.5787021649339383, -1.6596909419859982, -1.721171441817878, -1.7399862106211168]"
278,"[3265, 7120, 3317, 2719, 4246, 2457, 8224, 5767, 2268, 4521]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0782461689184375, 1.160524396841517, 1.2473981999439958, 1.336729321735514, 1.424771454301876, 1.5142837614379834, 1.5891753513565343, 1.6435231449620242, 1.7137641040106142, 1.8540839639034061]"
279,"[4391, 131, 5201, 2120, 6984, 5614, 3534, 7348, 4217, 494]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0777580479524635, 1.1554063375142445, 1.2443536351221687, 1.3371239541980533, 1.4387552585308339, 1.527986722136839, 1.6330677230069122, 1.7170720245865252, 1.8287771046661094, 1.946143716171829]"
280,"[7105, 8043, 4136, 7594, 5601, 2106, 285, 1587, 6556, 2395]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.078569417425588, 1.1626300870756276, 1.2474940802227423, 1.3387582872348018, 1.4264551360538673, 1.5079090434084834, 1.5959371012850652, -1.6918750142347412, -1.7735705523531688, -1.8418864595641786]"
281,"[1229, 3208, 5475, 1233, 5992, 1188, 63, 4900, 702, 3511]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0791224979949285, 1.1589287538105593, 1.2415737690560262, 1.3292737807198836, 1.4103972232501516, 1.5033836153659317, 1.6033480327204317, 1.7053211786510702, 1.7882093922876332, 1.8722772867454653]"
282,"[7725, 3198, 2624, 4800, 4735, 6726, 3097, 7315, 1355, 2371]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.07935364483178, 1.1527353449280646, 1.2391770877988588, 1.3290018984620928, 1.4174959135119871, 1.489369424636705, 1.5734812058211298, 1.6134126973947123, 1.6769602535035009, 1.7593830394161685]"
283,"[4035, 1769, 6642, 5152, 1931, 6956, 1683, 131, 5536, 2303]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, -2.200469068654355]","[1, 1.077400717206202, 1.1604610181365291, 1.2474962111042673, 1.3354446090393037, 1.4263320004680007, 1.5145793217099655, 1.5957704107339394, 1.6988257339424333, 1.8029435719044211, -1.8522721714786525]"
284,"[362, 6738, 6138, 1339, 6023, 638, 2796, 7545, 6609, 7427]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0755391824960883, 1.1635522725711036, 1.2486537422636832, 1.3232993551008108, 1.4047980247413463, 1.4892077652570144, 1.5905413872641287, 1.654533610723667, 1.767497698759856, 1.8441870804563876]"
285,"[3678, 2855, 2410, 7304, 7381, 7983, 4883, 6346, 3824, 4556]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0787265318356183, 1.1597199068314255, 1.2442269655486913, -1.3345988777978302, -1.4304667402641253, -1.5037755996119502, -1.5930823852391278, -1.6439487743307695, -1.742821711032994, -1.8125204020043675]"
286,"[5481, 7198, 7661, 4554, 6049, 440, 350, 4671, 5906, 5978]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0786861870211717, 1.1581249549122934, 1.2437481128292667, 1.3314406120013695, 1.4102668601478037, 1.4783726874618333, 1.5689495232675932, 1.656521371237582, 1.7160695555326166, 1.8103749142453989]"
